time, phase1, phase2, phase3, oven_power, stove_power, dryer_power, washing_machine_power
1605355545, 0.32248943, 0.050556178, 0.119867619, 0.00255086, 0.000864363, 0.002219945, 0.000400048
1605355550, 0.324540973, 0.052148555, 0.123395585, 0.002071941, 0.002440511, 0.00080794, 0.001397352
1605355555, 0.319615912, 0.051779573, 0.120972259, 0.002172553, 0.002471918, 0.000588138, 0.000541857
1605355560, 0.323201037, 0.050779496, 0.122592898, 0.002541075, 0.002195552, 0.000661695, 0.001263643
1605355565, 0.322041336, 0.051264627, 0.121700633, 0.002439023, 0.001657425, 0.000810512, 0.001244765
1605355570, 0.327492309, 0.051394588, 0.122648053, 0.001430762, 0.002231374, 0.000816603, 0.001235882
1605355575, 0.325397319, 0.051087543, 0.124813829, 0.00260714, 0.002486373, 0.00069439, 0.001760869
1605355580, 0.323802146, 0.051615789, 0.122839954, 0.003445568, 0.001269019, 0.001611691, 0.000988408
1605355585, 0.323985683, 0.051503325, 0.121297521, 0.001433648, 0.002117581, 0.000744648, 0.000929972
1605355590, 0.329470416, 0.051380711, 0.123493307, 0.001294241, 0.00309273, 0.000673622, 0.000588604
1605355595, 0.32536046, 0.050903729, 0.121200341, 0.002424134, 0.001683421, 0.001108662, 0.000788854
1605355600, 0.321868556, 0.050992363, 0.122389045, 0.001958173, 0.002355472, 0.001362137, 0.001796413
1605355605, 0.32664358, 0.051278329, 0.121850797, 0.001902662, 0.002318534, 0.001077812, 0.001071543
1605355610, 0.321428278, 0.051594103, 0.121032163, 0.002036746, 0.002197766, 0.000746449, 0.0005236
1605355615, 0.319924504, 0.051023058, 0.121799621, 0.002665812, 0.001397449, 0.001361148, 0.001128992
1605355620, 0.332396962, 0.051513806, 0.125383211, 0.002041302, 0.002990239, 0.001189411, 0.001059017
1605355625, 0.327833501, 0.050960633, 0.119987399, 0.00199848, 0.001760982, 0.001219515, 0.000905204
1605355630, 0.321102337, 0.051144159, 0.120707307, 0.002144933, 0.001592094, 0.001286923, 0.000850872
1605355635, 0.327174304, 0.051188167, 0.123169661, 0.00189471, 0.001445232, 0.00049187, 0.001003661
1605355640, 0.32261086, 0.051539597, 0.122050484, 0.001200045, 0.002387148, 0.001043495, 0.001287187
1605355645, 0.327618564, 0.051334722, 0.121941792, 0.00245122, 0.002670471, 0.001025705, 0.000607855
1605355650, 0.327503222, 0.050680402, 0.123010852, 0.002827114, 0.001795878, 0.001551325, 0.001221548
1605355655, 0.324378457, 0.051111362, 0.122039727, 0.002905721, 0.003199365, 0.000772211, 0.00107043
1605355660, 0.32964277, 0.051741093, 0.122360796, 0.003476694, 0.001972614, 0.001051752, 0.000817341
1605355665, 0.324300912, 0.05056645, 0.121659287, 0.003658959, 0.00110702, 0.001826796, 0.000992178
1605355670, 0.326075903, 0.051515434, 0.126443791, 0.001874488, 0.003181642, 0.000900479, 0.000691515
1605355675, 0.319520188, 0.051719173, 0.123499919, 0.001920527, 0.001415965, 0.001140356, 0.000360352
1605355680, 0.32006541, 0.051190285, 0.122571569, 0.002407484, 0.002072742, 0.000868313, 0.000704499
1605355685, 0.321083709, 0.0510318, 0.121377531, 0.001504168, 0.003007055, 0.000578265, 0.001054801
1605355690, 0.323007442, 0.051666591, 0.122582702, 0.002517192, 0.002716214, 0.000679606, 0.00054593
1605355695, 0.326084137, 0.051123539, 0.123453587, 0.002759252, 0.002183745, 0.001532129, 0.001522699
1605355700, 0.322959652, 0.050430187, 0.123494202, 0.002092545, 0.00181733, 0.001068388, 0.000703477
1605355705, 0.321025507, 0.051560631, 0.122764269, 0.002159489, 0.00192455, 0.001869405, 0.001170737
1605355710, 0.323175252, 0.051121455, 0.122053432, 0.001957147, 0.002228646, 0.001214966, 0.000208956
1605355715, 0.330321595, 0.050578393, 0.123111098, 0.002393022, 0.001473662, 0.000764213, 0.000664983
1605355720, 0.326998503, 0.051443907, 0.122496121, 0.002583252, 0.002364023, 0.00050087, 0.000957495
1605355725, 0.327077825, 0.05143949, 0.123916299, 0.002185481, 0.00310258, 0.000436249, 0.000701023
1605355730, 0.325082756, 0.051124717, 0.122569455, 0.002002812, 0.001453939, 0.000800793, 0.001179495
1605355735, 0.326896533, 0.051461215, 0.124701902, 0.00230308, 0.002817196, 0.000932191, 0.000928965
1605355740, 0.329463053, 0.050590626, 0.122734153, 0.002509204, 0.001797763, 0.001208221, 0.001355958
